data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,24,19,18,1,2,1,2707.32,2506.84,2736.1,2567.2,144.00526315789475,142.6222222222222,0.174,0.371,0.236,0.248
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,23,3,0,3,1,1,416.7,0.0,416.7,0.0,138.9,,0.062,0.0,0.218,
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,23,19,18,1,2,1,2707.32,2506.84,2736.1,2567.2,144.00526315789475,142.6222222222222,0.174,0.371,0.236,0.248
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,44,1,1,0,1,2,170.9,220.9,170.9,220.9,170.9,220.9,0.024,0.011,0.333,0.314
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,44,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,43,1,1,0,1,2,170.9,220.9,170.9,220.9,170.9,220.9,0.024,0.011,0.333,0.314
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,43,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,42,1,1,0,1,2,170.9,220.9,170.9,220.9,170.9,220.9,0.024,0.011,0.333,0.314
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,42,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,41,1,2,-1,1,2,170.9,372.91,170.9,389.8,170.9,194.9,0.024,0.02,0.333,0.308
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,41,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,40,1,3,-2,1,2,170.9,524.81,170.9,541.7,170.9,180.5666666666667,0.024,0.028,0.333,0.304
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,40,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,39,1,3,-2,1,2,170.9,524.81,170.9,541.7,170.9,180.5666666666667,0.024,0.028,0.333,0.304
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,39,7,1,6,3,3,1171.3,131.9,1171.3,131.9,167.32857142857145,131.9,0.042,0.005,0.278,0.251
