output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-BSB,BSB-BHZ,leito,NOITE,157.36,214.71,1.0639034836065562,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,BHZ-CAB,leito,NOITE,149.58,,1.0560309130122192,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,BHZ-CAB,semi leito,NOITE,136.47,149.52,1.0560309130122192,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,BHZ-CAB,leito individual,NOITE,149.58,,1.0560309130122192,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,CAB-BHZ,semi leito,NOITE,105.9,135.77,1.085326891671203,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,CAB-BHZ,leito individual,NOITE,209.9,,1.085326891671203,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CAB,CAB-BHZ,leito,NOITE,209.9,,1.085326891671203,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CMP,BHZ-CMP,leito individual,NOITE,190.65,,1.2775730778678478,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CMP,BHZ-CMP,semi leito,NOITE,128.9,135.9,1.2775730778678478,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CMP,BHZ-CMP,leito,NOITE,190.65,,1.2775730778678478,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CMP,CMP-BHZ,leito,NOITE,129.9,,1.0141627586206896,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-CMP,CMP-BHZ,leito individual,NOITE,129.9,,1.0141627586206896,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-DTI,BHZ-DTI,semi leito,NOITE,47.9,79.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-DTI,DTI-BHZ,semi leito,NOITE,21.9,74.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,BHZ-GYN,leito individual,NOITE,133.84,,1.061319760479042,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,BHZ-GYN,leito,NOITE,133.84,,1.061319760479042,
