data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,28,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,28,32,5,4202.1,4418.8,8,2,1252.32,1303.2,131.315625,0.124,0.235,156.54,0.066
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,27,32,5,4202.1,4418.8,8,2,1252.32,1303.2,131.315625,0.124,0.235,156.54,0.066
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,27,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,26,32,5,4202.1,4418.8,8,2,1252.32,1303.2,131.315625,0.124,0.235,156.54,0.066
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,26,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,25,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,25,32,5,4202.1,4418.8,8,2,1252.32,1303.2,131.315625,0.124,0.235,156.54,0.066
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,24,40,5,5256.64,5544.0,9,2,1385.22,1436.1,131.416,0.151,0.242,153.91333333333333,0.075
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,24,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,23,42,5,5444.44,5731.8,9,2,1385.22,1436.1,129.6295238095238,0.157,0.24,153.91333333333333,0.075
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,23,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,44,3,2,344.7,344.7,7,2,868.52,890.3,114.89999999999999,0.03,0.195,124.07428571428571,0.069
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,44,0,2,0.0,0.0,9,2,1277.1,1277.1,,0.0,,141.89999999999998,0.099
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,43,0,2,0.0,0.0,10,2,1434.0,1434.0,,0.0,,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,43,3,2,344.7,344.7,7,2,868.52,890.3,114.89999999999999,0.03,0.195,124.07428571428571,0.069
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,42,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,42,2,2,240.8,240.8,10,2,1434.0,1434.0,120.4,0.023,0.194,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,41,1,2,101.9,101.9,10,2,1434.0,1434.0,101.9,0.011,0.177,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,41,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,40,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,40,1,2,101.9,101.9,10,2,1434.0,1434.0,101.9,0.011,0.177,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,39,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
