data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
2026-07-24,2025-07-25,07. RPK,339054.0,528208.0
2026-07-24,2025-07-25,08. Load Factor,0.0453049015303135,0.05567226669331138
2026-07-24,2025-07-25,09. Ticket Médio,117.43115191986644,126.05052465897167
2026-07-24,2025-07-25,10. GMV,72919.1,123283.70000000001
2026-07-25,2025-07-26,01. RASK,0.015545392065886504,0.01041807991820272
2026-07-25,2025-07-26,02. Yield,0.21397216283173826,0.22375175695789862
2026-07-25,2025-07-26,03. Buscas,2433.0,2884.0
2026-07-25,2025-07-26,04. Grupos Realizados,139.0,302.0
2026-07-25,2025-07-26,05. Pax Total,413.0,535.0
2026-07-25,2025-07-26,06. ASK,3307263.0,6294586.0
2026-07-25,2025-07-26,07. RPK,235728.0,289563.0
2026-07-25,2025-07-26,08. Load Factor,0.0712758555941877,0.046001913390332584
2026-07-25,2025-07-26,09. Ticket Médio,122.12888619854722,121.1032336448598
2026-07-25,2025-07-26,10. GMV,51412.7,65577.5
2026-07-26,2025-07-27,01. RASK,0.011769727010923083,0.014936897072339863
2026-07-26,2025-07-27,02. Yield,0.24431754247159404,0.2727866080997449
2026-07-26,2025-07-27,03. Buscas,4975.0,5481.0
2026-07-26,2025-07-27,04. Grupos Realizados,309.0,450.0
2026-07-26,2025-07-27,05. Pax Total,693.0,1005.0
2026-07-26,2025-07-27,06. ASK,7672285.0,9819275.0
2026-07-26,2025-07-27,07. RPK,364008.0,529992.0
2026-07-26,2025-07-27,08. Load Factor,0.047444535754341766,0.05397465698842328
2026-07-26,2025-07-27,09. Ticket Médio,128.33122655122654,143.85544278606963
2026-07-26,2025-07-27,10. GMV,90300.69999999998,146669.5
2026-07-27,2025-07-28,01. RASK,0.007840719112045732,0.0100169916650311
2026-07-27,2025-07-28,02. Yield,0.21703448098156347,0.22287231432289994
2026-07-27,2025-07-28,03. Buscas,2916.0,2771.0
2026-07-27,2025-07-28,04. Grupos Realizados,258.0,369.0
2026-07-27,2025-07-28,05. Pax Total,426.0,663.0
2026-07-27,2025-07-28,06. ASK,6550968.0,8417068.0
2026-07-27,2025-07-28,07. RPK,232853.0,374952.0
2026-07-27,2025-07-28,08. Load Factor,0.035544823299396365,0.04454662835086992
2026-07-27,2025-07-28,09. Ticket Médio,118.63176056338027,126.04286576168928
2026-07-27,2025-07-28,10. GMV,51364.30000000002,84313.7
2026-07-28,2025-07-29,01. RASK,0.007771178104544132,0.005941020779206494
2026-07-28,2025-07-29,02. Yield,0.19257721641527453,0.19194780889547894
2026-07-28,2025-07-29,03. Buscas,1346.0,1246.0
2026-07-28,2025-07-29,04. Grupos Realizados,143.0,254.0
2026-07-28,2025-07-29,05. Pax Total,252.0,308.0
2026-07-28,2025-07-29,06. ASK,3843793.0,6000181.0
2026-07-28,2025-07-29,07. RPK,152882.0,180069.0
2026-07-28,2025-07-29,08. Load Factor,0.03977373391335069,0.03001059468039381
2026-07-28,2025-07-29,09. Ticket Médio,116.83170634920637,112.22029220779223
2026-07-28,2025-07-29,10. GMV,29870.8,35647.2
2026-07-29,2025-07-30,01. RASK,0.008208193636072395,0.0050780953976682815
2026-07-29,2025-07-30,02. Yield,0.19513062111611107,0.21917872060101473
2026-07-29,2025-07-30,03. Buscas,1288.0,1150.0
2026-07-29,2025-07-30,04. Grupos Realizados,148.0,262.0
2026-07-29,2025-07-30,05. Pax Total,279.0,256.0
2026-07-29,2025-07-30,06. ASK,4004791.0,6254786.0
