regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,geral,2026-07-17,2025-07-18,09. GMV,93950.20000000003,139293.4
Reg. MG,geral,2026-07-18,2025-07-19,01. RASK,0.020908549260529347,0.021405446013175063
Reg. MG,geral,2026-07-18,2025-07-19,02. Yield,0.20884167419370175,0.218264900229517
Reg. MG,geral,2026-07-18,2025-07-19,03. Grupos Realizados,60.0,102.0
Reg. MG,geral,2026-07-18,2025-07-19,04. Pax Total,268.0,419.0
Reg. MG,geral,2026-07-18,2025-07-19,05. ASK,1510540.0,2579722.0
Reg. MG,geral,2026-07-18,2025-07-19,06. RPK,147247.0,244862.0
Reg. MG,geral,2026-07-18,2025-07-19,07. Load Factor,0.09747970924305216,0.09491797953422888
Reg. MG,geral,2026-07-18,2025-07-19,08. Ticket Médio,114.74369402985074,127.55317422434368
Reg. MG,geral,2026-07-18,2025-07-19,09. GMV,31583.2,55220.1
Reg. MG,geral,2026-07-19,2025-07-20,01. RASK,0.02221238714593039,0.02648896603075723
Reg. MG,geral,2026-07-19,2025-07-20,02. Yield,0.27817614805626817,0.2787914226113749
Reg. MG,geral,2026-07-19,2025-07-20,03. Grupos Realizados,143.0,192.0
Reg. MG,geral,2026-07-19,2025-07-20,04. Pax Total,509.0,808.0
Reg. MG,geral,2026-07-19,2025-07-20,05. ASK,3643422.0,4892573.0
Reg. MG,geral,2026-07-19,2025-07-20,06. RPK,283784.0,449181.0
Reg. MG,geral,2026-07-19,2025-07-20,07. Load Factor,0.07788941275537119,0.0918087476671273
Reg. MG,geral,2026-07-19,2025-07-20,08. Ticket Médio,155.09222003929273,154.98491336633666
Reg. MG,geral,2026-07-19,2025-07-20,09. GMV,80929.09999999999,129599.2
Reg. MG,geral,2026-07-20,2025-07-21,01. RASK,0.013224764694085572,0.01645261031098225
Reg. MG,geral,2026-07-20,2025-07-21,02. Yield,0.22848073409027908,0.2274047914415676
Reg. MG,geral,2026-07-20,2025-07-21,03. Grupos Realizados,120.0,164.0
Reg. MG,geral,2026-07-20,2025-07-21,04. Pax Total,302.0,512.0
Reg. MG,geral,2026-07-20,2025-07-21,05. ASK,3136449.0,4283685.0
Reg. MG,geral,2026-07-20,2025-07-21,06. RPK,176763.0,299868.0
Reg. MG,geral,2026-07-20,2025-07-21,07. Load Factor,0.05635768348218001,0.0700023461108835
Reg. MG,geral,2026-07-20,2025-07-21,08. Ticket Médio,133.73158940397352,133.18636718750003
Reg. MG,geral,2026-07-20,2025-07-21,09. GMV,41478.799999999996,70477.8
Reg. MG,geral,2026-07-21,2025-07-22,01. RASK,0.016648558528308273,0.01999146138574434
Reg. MG,geral,2026-07-21,2025-07-22,02. Yield,0.22258840395030263,0.24736631566327655
Reg. MG,geral,2026-07-21,2025-07-22,03. Grupos Realizados,85.0,119.0
Reg. MG,geral,2026-07-21,2025-07-22,04. Pax Total,319.0,428.0
Reg. MG,geral,2026-07-21,2025-07-22,05. ASK,2400394.0,3133998.0
Reg. MG,geral,2026-07-21,2025-07-22,06. RPK,175784.0,250235.0
Reg. MG,geral,2026-07-21,2025-07-22,07. Load Factor,0.07323131119307913,0.07984529664664751
Reg. MG,geral,2026-07-21,2025-07-22,08. Ticket Médio,122.65667711598745,144.62549065420563
Reg. MG,geral,2026-07-21,2025-07-22,09. GMV,39963.1,62653.200000000004
Reg. MG,geral,2026-07-22,2025-07-23,01. RASK,0.01740495198122475,0.019692405001642158
Reg. MG,geral,2026-07-22,2025-07-23,02. Yield,0.20940751773817903,0.23883266198330833
Reg. MG,geral,2026-07-22,2025-07-23,03. Grupos Realizados,84.0,120.0
Reg. MG,geral,2026-07-22,2025-07-23,04. Pax Total,325.0,441.0
Reg. MG,geral,2026-07-22,2025-07-23,05. ASK,2359702.0,3203108.0
Reg. MG,geral,2026-07-22,2025-07-23,06. RPK,184630.0,258931.0
Reg. MG,geral,2026-07-22,2025-07-23,07. Load Factor,0.07824293067514457,0.08083742415179257
Reg. MG,geral,2026-07-22,2025-07-23,08. Ticket Médio,118.96279999999999,140.22943310657595
Reg. MG,geral,2026-07-22,2025-07-23,09. GMV,41070.5,63076.9
Reg. MG,geral,2026-07-23,2025-07-24,01. RASK,0.014848791305667831,0.018953423636454126
Reg. MG,geral,2026-07-23,2025-07-24,02. Yield,0.21144944515095027,0.22644886897177416
Reg. MG,geral,2026-07-23,2025-07-24,03. Grupos Realizados,122.0,164.0
Reg. MG,geral,2026-07-23,2025-07-24,04. Pax Total,408.0,612.0
Reg. MG,geral,2026-07-23,2025-07-24,05. ASK,3353081.0,4319895.0
Reg. MG,geral,2026-07-23,2025-07-24,06. RPK,229612.0,346101.0
Reg. MG,geral,2026-07-23,2025-07-24,07. Load Factor,0.06847791628057896,0.08011791953276642
Reg. MG,geral,2026-07-23,2025-07-24,08. Ticket Médio,118.99835784313724,128.06238562091505
Reg. MG,geral,2026-07-23,2025-07-24,09. GMV,49789.200000000004,81876.79999999999
Reg. MG,geral,2026-07-24,2025-07-25,01. RASK,0.013831888916953167,0.018818367156638354
Reg. MG,geral,2026-07-24,2025-07-25,02. Yield,0.2264470305340048,0.2320387680644651
Reg. MG,geral,2026-07-24,2025-07-25,03. Grupos Realizados,138.0,184.0
Reg. MG,geral,2026-07-24,2025-07-25,04. Pax Total,385.0,649.0
Reg. MG,geral,2026-07-24,2025-07-25,05. ASK,3729534.0,4718640.0
Reg. MG,geral,2026-07-24,2025-07-25,06. RPK,220410.0,373039.0
Reg. MG,geral,2026-07-24,2025-07-25,07. Load Factor,0.05909853617100689,0.0790564654222403
Reg. MG,geral,2026-07-24,2025-07-25,08. Ticket Médio,129.63945454545456,133.37366718027735
Reg. MG,geral,2026-07-24,2025-07-25,09. GMV,51586.50000000001,88797.1
Reg. MG,geral,2026-07-25,2025-07-26,01. RASK,0.023587985686942436,0.015734994978010515
Reg. MG,geral,2026-07-25,2025-07-26,02. Yield,0.24019484720793655,0.2398432301461015
Reg. MG,geral,2026-07-25,2025-07-26,03. Grupos Realizados,46.0,102.0
Reg. MG,geral,2026-07-25,2025-07-26,04. Pax Total,221.0,298.0
Reg. MG,geral,2026-07-25,2025-07-26,05. ASK,1257034.0,2563725.0
Reg. MG,geral,2026-07-25,2025-07-26,06. RPK,120556.0,165912.0
Reg. MG,geral,2026-07-25,2025-07-26,07. Load Factor,0.09590512269357869,0.06471520931457157
Reg. MG,geral,2026-07-25,2025-07-26,08. Ticket Médio,131.0268325791855,133.53312080536912
Reg. MG,geral,2026-07-25,2025-07-26,09. GMV,29650.9,40340.200000000004
Reg. MG,geral,2026-07-26,2025-07-27,01. RASK,0.018234768994409317,0.023252975781354806
Reg. MG,geral,2026-07-26,2025-07-27,02. Yield,0.26609720205322546,0.2856908853044468
Reg. MG,geral,2026-07-26,2025-07-27,03. Grupos Realizados,143.0,190.0
Reg. MG,geral,2026-07-26,2025-07-27,04. Pax Total,464.0,705.0
Reg. MG,geral,2026-07-26,2025-07-27,05. ASK,3822072.0,4830328.0
Reg. MG,geral,2026-07-26,2025-07-27,06. RPK,257546.0,387539.0
