output_label,periodo_historico,periodo_atual,secao,data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,02. Yield,0.19580272120766007,0.20954523194876848
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,03. Buscas,4213.0,4599.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,04. Grupos Realizados,187.0,293.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,05. Pax Total,579.0,774.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,06. ASK,4837671.0,6897803.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,07. RPK,342348.0,451285.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,08. Load Factor,0.07076711086801893,0.06542445471405896
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,09. Ticket Médio,115.77317789291882,122.17651162790698
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,10. GMV,68685.09999999999,98060.6
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,01. RASK,0.013969539078270563,0.020113485162679592
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,02. Yield,0.20855584314258352,0.22684186059749353
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,03. Buscas,5932.0,7264.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,04. Grupos Realizados,281.0,375.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,05. Pax Total,788.0,1291.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,06. ASK,7016137.0,8633904.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,07. RPK,456287.0,737849.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,08. Load Factor,0.06503393534077229,0.08545948623009939
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,09. Ticket Médio,120.7630964467005,129.64759101471725
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-16,2025-07-17,10. GMV,98012.20000000001,173657.89999999997
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,01. RASK,0.016370437424930526,0.021209916094308476
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,02. Yield,0.22351410607658403,0.2352311952489594
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,03. Buscas,9328.0,10412.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,04. Grupos Realizados,341.0,444.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,05. Pax Total,1058.0,1583.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,06. ASK,8233207.0,9956178.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,07. RPK,575603.0,861285.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,08. Load Factor,0.06991236829099523,0.08650759357657126
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,09. Ticket Médio,121.60244801512289,127.98553379658878
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-17,2025-07-18,10. GMV,134781.2,211169.69999999995
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,01. RASK,0.016422741602030822,0.01534076199881566
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,02. Yield,0.19508177939817453,0.2125925102569069
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,03. Buscas,4004.0,4404.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,04. Grupos Realizados,167.0,311.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,05. Pax Total,582.0,790.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,06. ASK,3837654.0,6504892.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,07. RPK,315972.0,454328.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,08. Load Factor,0.08233467634132728,0.06984404967830365
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,09. Ticket Médio,105.9113058419244,122.2616835443038
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-18,2025-07-19,10. GMV,63024.799999999996,99789.99999999999
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,01. RASK,0.01649492810132646,0.02111860100228446
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,02. Yield,0.24560150226494457,0.2626993334363992
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,03. Buscas,7249.0,8490.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,04. Grupos Realizados,333.0,459.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,05. Pax Total,962.0,1426.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,06. ASK,7999174.0,10027293.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,07. RPK,528269.0,782671.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,08. Load Factor,0.06604044367580952,0.0780540670348418
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,09. Ticket Médio,134.86866943866943,144.18453716690038
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-19,2025-07-20,10. GMV,131945.80000000002,211762.4
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,01. RASK,0.010400884978534745,0.014123397624663128
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,02. Yield,0.2146303690220307,0.22131870700467488
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,03. Buscas,4993.0,4891.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,04. Grupos Realizados,263.0,373.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,05. Pax Total,537.0,943.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,06. ASK,6409195.0,8464231.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,07. RPK,303803.0,526220.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,08. Load Factor,0.04740111667689936,0.062169853351119554
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,09. Ticket Médio,121.42523277467413,123.50194061505834
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-20,2025-07-21,10. GMV,66661.3,119543.70000000001
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,01. RASK,0.01227956045184747,0.01382300480331354
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,02. Yield,0.20167456074980655,0.22927229326864826
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,03. Buscas,2790.0,2636.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,04. Grupos Realizados,175.0,282.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,05. Pax Total,493.0,678.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,06. ASK,4722213.0,6543816.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,07. RPK,279112.0,387931.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,08. Load Factor,0.05910618601913976,0.05928207639090097
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,09. Ticket Médio,114.17807302231239,131.18264011799408
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-21,2025-07-22,10. GMV,57986.700000000004,90455.2
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,01. RASK,0.013212892884022038,0.01464841680192315
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,02. Yield,0.19767586860629455,0.21870294010986796
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,03. Buscas,2740.0,3420.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,04. Grupos Realizados,175.0,291.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,05. Pax Total,507.0,756.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,06. ASK,4603935.0,6812982.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,07. RPK,292221.0,446718.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,08. Load Factor,0.06347200818430321,0.06556864527162995
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,09. Ticket Médio,113.93499013806706,129.230873015873
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-22,2025-07-23,10. GMV,60831.3,99799.40000000001
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,01. RASK,0.010854456664652479,0.013821120550215489
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,02. Yield,0.2032826875977456,0.21670334415808745
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,03. Buscas,3740.0,4668.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,04. Grupos Realizados,259.0,371.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,05. Pax Total,628.0,932.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,06. ASK,6538623.0,8516227.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,07. RPK,338890.0,521028.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-23,2025-07-24,08. Load Factor,0.05182895542379489,0.06118061437300814
