regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,04. Pax Total,1616.0,1282.0,1527.0,2112.0
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,05. ASK,3418821.0,3438347.0,3524189.0,3811570.0
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,06. RPK,812968.0,667981.0,774467.0,1058497.0
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,07. Load Factor,0.23779191715506603,0.19427387637140753,0.2197575101675875,0.277706299503879
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,08. Ticket Médio,100.74891707920793,111.44684867394699,113.07677144728224,117.26545928030305
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,09. GMV,169825.39999999997,146237.80000000002,176763.16999999995,255719.56999999995
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,01. RASK,0.03346553177245531,0.07927055399479047,0.06804232668103358,0.039316925785972304
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,02. Yield,0.18682479270742136,0.2564277956044911,0.25293047845511496,0.21041065616420151
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,03. Grupos Realizados,128.0,61.0,67.0,158.0
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,04. Pax Total,1190.0,896.0,853.0,1425.0
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,05. ASK,3345980.0,1612813.0,1787903.0,3973009.0
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,06. RPK,582510.0,483357.0,465122.0,722624.0
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,07. Load Factor,0.17409249308124974,0.29969810511199996,0.2601494600098551,0.18188330305821104
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,08. Ticket Médio,91.45152100840339,138.33277901785715,137.91738569753807,106.70020350877195
Reg. MG,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,09. GMV,111975.00000000001,127848.58,121653.07999999999,156206.49999999997
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,01. RASK,0.07777959585487364,0.07744358168644662,0.06372515514668846,0.08299909850633304
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,02. Yield,0.2482575177536796,0.2566245783374349,0.26135754572513153,0.28211967147443884
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,03. Grupos Realizados,58.0,59.0,61.0,68.0
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,04. Pax Total,893.0,815.0,701.0,961.0
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,05. ASK,1491197.0,1501773.0,1578345.0,1749319.0
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,06. RPK,455821.0,438443.0,370912.0,501757.0
